,ds,cities,y,yhat,yhat_upper,yhat_lower
30,2002-07-01,Belgrade,302.3561,305.939406794477,309.61955526717895,302.3125751345009
31,2002-08-01,Belgrade,305.92535,304.0074194814518,308.1335588831807,300.35537567331477
32,2002-09-01,Belgrade,300.3583,298.722522374076,302.3614149924236,295.1761721807635
33,2002-10-01,Belgrade,291.7942,291.72406726837664,295.6080012341329,288.0824154830787
34,2002-11-01,Belgrade,285.0726,284.64704606975863,288.61586804860224,280.8999969630839
35,2002-12-01,Belgrade,279.74493,280.7870292791966,284.73089316351667,277.0400236878916
36,2003-01-01,Belgrade,281.325,279.4677045240482,283.1466995534302,275.7352394479967
37,2003-02-01,Belgrade,283.60648,282.5334287019978,286.38921114309704,279.04281555477615
38,2003-03-01,Belgrade,287.67273,285.26712051062555,289.15616998809014,281.62012624209393
39,2003-04-01,Belgrade,290.0563,290.8212462500347,294.3750138548865,287.03059549197593
40,2003-05-01,Belgrade,299.25385,296.0808895805683,299.77276703243837,292.42590901499045
41,2003-06-01,Belgrade,301.0062,301.34662801077224,305.0600148690009,297.60995028755394
42,2003-07-01,Belgrade,305.61356,305.86938938627793,309.7835150153784,302.2726527214961
43,2003-08-01,Belgrade,301.25037,304.6766834073508,308.48755841869104,300.95204052486577
44,2003-09-01,Belgrade,300.58902,299.3743408144807,302.89547764794384,295.97351564781314
45,2003-10-01,Belgrade,291.27823,291.21796515927207,295.0171775457032,287.3557812061662
46,2003-11-01,Belgrade,285.84003,284.621931464723,288.25724977358317,281.00249683125935
47,2003-12-01,Belgrade,281.7719,281.1686351161574,284.8710089124517,277.53863897848095
48,2004-01-01,Belgrade,279.01147,279.6678316310664,283.33604274013993,275.93620613100796
49,2004-02-01,Belgrade,279.22787,282.4021776883528,285.86013645792644,278.68384788250125
50,2004-03-01,Belgrade,285.82065,285.59153714967874,289.1040155160428,281.8443926774582
51,2004-04-01,Belgrade,288.1739,289.82767957144347,293.3551911171592,286.2613826511175
52,2004-05-01,Belgrade,296.98907,296.97238621886703,300.4039605900497,293.17427704128784
53,2004-06-01,Belgrade,301.7232,302.15814905470353,306.201136016969,298.32613986773845
54,2004-07-01,Belgrade,305.31308,306.6693118330592,310.42761929564693,302.80087113991675
55,2004-08-01,Belgrade,303.61148,303.1842541160283,307.0263619937913,299.76718787756926
56,2004-09-01,Belgrade,296.49518,297.7993312240102,301.48060411655246,294.03444195486685
57,2004-10-01,Belgrade,291.67044,293.0946944408053,296.67034502296485,289.5605009570484
58,2004-11-01,Belgrade,284.91992,285.07724211895163,288.8920389393569,281.19113788904866
59,2004-12-01,Belgrade,278.99097,280.35143543502767,283.94379528239807,276.8779927745094
60,2005-01-01,Belgrade,276.3068,279.3264725313447,282.92942802333056,275.93597582616394
61,2005-02-01,Belgrade,285.05997,283.0183779454187,286.7562026148981,279.53404818032607
62,2005-03-01,Belgrade,287.56448,285.55467093312,289.36916923165586,281.8174200342484
63,2005-04-01,Belgrade,291.44272,290.238504075516,293.8425993995164,286.56786867382476
64,2005-05-01,Belgrade,297.92175,296.7606224418953,300.36648633981997,293.1237172743379
65,2005-06-01,Belgrade,302.38766,301.963754103157,305.4446373476935,298.4464755529528
66,2005-07-01,Belgrade,305.69363,306.4682914753804,310.0533978890795,302.66423335407814
67,2005-08-01,Belgrade,300.7366,303.7501467903557,307.4958467201448,299.832451402076
68,2005-09-01,Belgrade,297.6104,298.4159812468465,302.2923900842826,294.919572586474
69,2005-10-01,Belgrade,292.61102,292.5558206784014,296.44409691997595,288.8977594484867
70,2005-11-01,Belgrade,287.39017,284.9830080588961,288.7171523230999,281.3193474783497
71,2005-12-01,Belgrade,281.39755,280.67745206793046,284.637347769355,276.9304998120595
72,2006-01-01,Belgrade,283.7256,279.494909784817,283.3933635415508,275.53118809535323
73,2006-02-01,Belgrade,282.4501,282.8580728794643,286.32733732096096,279.3844105428575
74,2006-03-01,Belgrade,285.46817,285.48091736741475,289.2548927593073,282.094561676759
